target_rps,duration_s,total_reqs,connections,wall_clock_s,actual_rps_nom,actual_rps_wall,ok_reqs,failed_reqs,fail_thrift_exc,fail_net,dma_mb_s,dma_gbps,tcp_mb_s,tcp_gbps,corr_avg_ms,corr_p50_ms,corr_p95_ms,corr_p99_ms,corr_max_ms,raw_avg_ms,raw_p50_ms,raw_p95_ms,raw_p99_ms,raw_max_ms,dial_ms,test_wall_s,exit_code
5000,30,150000,200,30.50,5000.0,4918.0,150000,0,0,0,38.42,0.322,38.38,0.322,0.63,0.60,1.11,1.50,9.89,0.47,0.47,0.78,1.00,9.82,13.478077,34,0
10000,30,300000,400,,,,,,0,0,,,,,,,,,,,,,,,59.185136,45,124
